comment,date
我在上周大幅减了红日药业昨天也傻傻地急于加了点个人观点估计红日还有得回调了,2022/11/9
红日药业11月07日获深股通增持39039万股,2022/11/9
记录贴五十四万回本之路11 8,2022/11/9
这是高位双胞胎还是低位双胞胎哈哈,2022/11/9
在股民看来公司董事长姚小青减持说明内部判断公司股价已处于较高的估值水平对投,2022/11/9
玩意害的大爷割肉跑了结果它又大涨,2022/11/9
96收,2022/11/9
大盘要去考验60分钟线,2022/11/9
减持就是利空,2022/11/9
主力后劲不足啊现在这个阶段感染了最多是轻症是不是吃吃莲花清瘟应该就OK了,2022/11/9
宁愿套死也不割就是这么硬呲牙每跌7就加仓,2022/11/9
主力不会7元收盘的,2022/11/9
700收盘,2022/11/9
好不容易涨一点大盘短期又见顶,2022/11/9
G庄真是卖不完的货,2022/11/9
不要追高,2022/11/9
冲锋号吹起来,2022/11/9
69收盘,2022/11/9
减持难涨期望不要过高,2022/11/9
看看这最后60分钟能不能向上突破,2022/11/9
今天这要是干啥,2022/11/9
703已跑开心,2022/11/9
没多少压盘吃掉它们上板应该不难火箭火箭火箭,2022/11/9
有没有尽快抛,2022/11/9
703喝点汤走人换股垃圾,2022/11/9
如果一个月前我选择的不是红日而是选择的中药板块其他一只股票如今都翻倍了为,2022/11/9
深股通买了300万股,2022/11/9
不会真这么水吧刚才两单万手哥都站不稳,2022/11/9
这么磨叽的么一会凶猛资金来被动涨停不如主动拉涨停火箭火箭火箭,2022/11/9
今天站上709才有戏,2022/11/9
调整结束了,2022/11/9
2个万手哥出现了后期有戏,2022/11/9
明天6元见,2022/11/9
每天上面压盘量都是吓死人,2022/11/9
今天的遗憾是没有买湖南发展要是加仓湖南发展就好了因为考虑湖南发展的板块供销社,2022/11/9
涨不动啊费劲,2022/11/9
会起飞涨停,2022/11/9
公司确实存在问题不然不至于这样,2022/11/9
这股应该是量化交易,2022/11/9
谁砸盘谁出局坚决不卖一股不砸盘不压盘不做t火箭火箭火箭,2022/11/9
凯宝追上来了,2022/11/9
箭牌家居001322大家随我前去加仓涨停板抢筹呲牙呲牙呲牙,2022/11/9
人气来了资金来了看到到希望,2022/11/9
本月能上8元吗期待啊,2022/11/9
按板块走势红日最少八个点现在走的真服你,2022/11/9
我持有红日药业一个多月了中药板块也涨幅比较大个别股票都翻了一倍多了还在涨每,2022/11/9
绿盘收盘,2022/11/9
弟弟,2022/11/9
狗托不要说涨停不跌都是好事,2022/11/9
见鬼了这票,2022/11/9
有人幻想涨停呢太阳能从西边出来不为什么哈哈哈,2022/11/9
破竹之势上涨,2022/11/9
连续一年每天都大量卖盘换手率都在2以上主力几分钱短线炒的起劲,2022/11/9
换了换了000999300147都好,2022/11/9
希望姚董事长有钱后好好经营好自己企业,2022/11/9
还得买前排的啊红日垃圾庄跟风就是不强,2022/11/9
中药板块成分股快10只股涨停了唯有红日药业却不停的出货搞不懂红日药业的股,2022/11/9
继续加仓必上7,2022/11/9
大盘短期头部形成,2022/11/9
换一波人玩可能还有点机会,2022/11/9
今天必上7以上,2022/11/9
轮轩,2022/11/9
喷火娃已经在赶来的路上火箭火箭火箭,2022/11/9
看看众生从10元涨到30元多还在涨我就不理解红日在6元多砸盘压盘做t的脑子,2022/11/9
以岭药业明天回调红日就会跳水,2022/11/9
来个涨停把外资洗出去吧,2022/11/9
今天涨停,2022/11/9
上7元真的是太难了,2022/11/9
红日药业SZ300026,2022/11/9
握紧筹码反正我也不多安静的看你操作,2022/11/9
别轻易丢了自己的筹码,2022/11/9
耐心等待突破,2022/11/9
红日这个小庄实力太差操盘的怂泻得快我先走人了,2022/11/9
血必净什么时候通过FDA认证,2022/11/9
这股和众生药业差不多时间上市当时都是30倍市盈率样子价比众生稍高十来年了还是,2022/11/9
此股彻底清仓略有10盈利底股也不留留下的发财,2022/11/9
728卖了想在618买回来还有机会吗有点担心飞走了,2022/11/9
此股每一次反弹都是减持出货的好时机,2022/11/9
如果没有这个减持公告红日现在的价位应该是冲9了,2022/11/9
高抬跳水表演开始,2022/11/9
众生封板龙头效应应该可以带动一下同行红日,2022/11/9
压单托单一堆主力出货,2022/11/9
69先走792进了恒信东方,2022/11/9
692左右震掉不稳定的筹码即将拉升,2022/11/9
每天都让股民失望,2022/11/9
冲破六个点这么困难啊呲牙,2022/11/9
连7都破不了,2022/11/9
希望姚老板有钱后好好管好企业,2022/11/9
又了,2022/11/9
今日大资金继续净流出下跌趋势中,2022/11/9
持股待涨,2022/11/9
资金真的够的 现在的红日拿着是非常难受的,2022/11/9
大资金阵地请拿出大资金的气势来把一切砸盘压盘做t的都蹄出局国家队国家队,2022/11/9
如果减持了去搞种植基地我们股民大力支持为啥不做说明,2022/11/9
查了一下还真是搞种植药材基地去了别骂了人家有更高的理想,2022/11/9
不看好这股的就不要再这里BB的了搞的人心都不稳,2022/11/9
涨停吗微笑,2022/11/9
开盘入的上套,2022/11/9
没完没了啊咋还剪不完了,2022/11/9
又剪持,2022/11/9
涨停,2022/11/9
昆药针新高,2022/11/9
红日药业11月9日盘中涨幅达5,2022/11/9
红日药业11月9日快速上涨,2022/11/9
加油看能站稳7大元么,2022/11/9
刚才谁说我5分钟就S的了G你半个小时了,2022/11/9
跨年妖股是你吗,2022/11/9
中药火车到红日拉了红日可以让中药火车升级成中药飞车国家队国家队,2022/11/9
大盘跌药涨,2022/11/9
垃圾,2022/11/9
拿好别被骗了砸盘压盘做t的都要被蹄出局国家队国家队国家队,2022/11/9
加仓加仓500手,2022/11/9
享受价值投资,2022/11/9
冲高拉稀,2022/11/9
每天冲高拉稀,2022/11/9
庄家控盘不让他涨只让跌,2022/11/9
一地鸡毛,2022/11/9
舅服你凯宝都没你这么水真是水货,2022/11/9
红日药业融资余额575亿元创近一年新低1108,2022/11/9
妖不除价不涨,2022/11/9
红日药业11月08日被深股通减持4826万股,2022/11/9
太多叫多麻烦了,2022/11/9
中药在做中期头部看看龙头就知道了等吧,2022/11/8
难道这次我的灵感是错误的不应该呀捂脸明天再跌的话全仓赌一把亏了就进厂,2022/11/8
今天的消息应该是配合庄家洗盘的上一次姚减持在前期最好价位现在发布消息不应该,2022/11/8
明天必红兄弟们,2022/11/8
各位加仓的大哥请受老夫一拜抱拳抱拳抱拳,2022/11/8
一分钟搞一下午,2022/11/8
狗不叫还不习惯啊,2022/11/8
被抛弃了吧你在这要绿的样子大盘一片红,2022/11/8
减持的股每次反弹就是走的机会该股加入黑名单,2022/11/8
还在拉高出货真不要脸了,2022/11/8
价值投资,2022/11/8
你大哥都疯了你就不能疯一下吗,2022/11/8
马上绿了红日真的是无耻之徒,2022/11/8
因姚老板卖自己的股票这个股很快就到4元了现在不是买的时候,2022/11/8
做了一毛钱的差价,2022/11/8
金针探底调整结束了,2022/11/8
外资不喜欢中药喜欢白酒,2022/11/8
是不是拉尾盘呢,2022/11/8
搞了一天暴涨1个点,2022/11/8
根据蓝宙搜索专家数据库的最新更新记录2022年11月04日天津红日药业股份有,2022/11/8
还敢继续幻想吗,2022/11/8
两万股星期一涨停,2022/11/8
庄家层层叠叠压盘股民瑟瑟发抖割肉,2022/11/8
快点绿吧不要装了,2022/11/8
层层叠叠的压盘,2022/11/8
今天瑟瑟发抖啊高位没跑,2022/11/8
收绿,2022/11/8
你再这样子我就反手唱空了捂脸20不冲上去就清仓去别的地方挣点钱再来,2022/11/8
不要因为出了减持公告就认为是必跌的上次出了这个减持公告还拉升了一波,2022/11/8
每一次贷款买每一次都是赚钱,2022/11/8
北上在大量买入看高一线,2022/11/8
一拉起来我觉得我又行了大笑大笑大笑,2022/11/8
跟在以岭后面却跟跌不跟涨主力资金对红日不感兴趣,2022/11/8
什么时候轮到红日涨停实在太弱了,2022/11/8
英雄所见略同挂买最多都在20线大笑,2022/11/8
董事长无人性减持割股民韭菜证交所一定要严查该人是不是想卷款逃跑,2022/11/8
深股通的空狗们最爱反复作空红日,2022/11/8
大盘继续绿就有机会,2022/11/8
这垃圾不行啊,2022/11/8
收盘656,2022/11/8
我想20线入的没到直接起来了我等你哈,2022/11/8
此股下跌中途每一次反弹都是减持出货好时机,2022/11/8
姚小青为什么刚减持完又减持公司股票出什么问题吗,2022/11/8
卖了就涨真急人,2022/11/8
小气庄你只要干上7然后横盘下班去捂脸,2022/11/8
验证只要你敢买啥时候都套你,2022/11/8
每天都是冲高回落套人把戏,2022/11/8
今日涨停,2022/11/8
希望今天收盘是红色的,2022/11/8
同是颗粒三九的颗粒市场还没红日多,2022/11/8
抓紧入,2022/11/8
必红,2022/11/8
一拉一出货,2022/11/8
没卖的韭菜们赶紧清仓卖要到五元以下这次减持利空比上次大,2022/11/8
垃圾公司垃圾的股,2022/11/8
644又补高了,2022/11/8
650成了阻力位,2022/11/8
弹不起,2022/11/8
周一悬了清仓的朋友要笑了,2022/11/8
个人浅谈资金源头众抢筹 后面被严重低估,2022/11/8
这一次我一定要等到5块以下才买m的上次698建仓套了我半年,2022/11/8
本周破6到5,2022/11/8
红日药业11月8日加速下跌,2022/11/8
破二十日线,2022/11/8
小青一阵扑腾留下一地鸡毛,2022/11/8
减持利空后的一大波阴跌开始了,2022/11/8
红日药业融资余额578亿元创近一年新低1107,2022/11/8
反正在哪都是亏无所谓了这次就你了,2022/11/8
净流入15个亿你就给我拉三个多点害我追高进来了,2022/11/8
太恶心了我走还不行吗,2022/11/8
明天不放量就必定下调走吧,2022/11/8
有谁发现融资余额到了两年的新低了,2022/11/8
下午这是想把筹码全部丢出来啊,2022/11/7
今日全仓梭哈生死有命富贵在天大笑,2022/11/7
套牢韭菜真会给自己臆想上涨理由董事长全体股东减持难道你比他们都,2022/11/7
凉了吗现在都看空了,2022/11/7
唱多的太多了这股下周真的悬了,2022/11/7
看到有好多人看跌清仓的人也有捂脸我就开心点了这次目标更远一点看到12,2022/11/7
姚女士减持把大家害惨了每次有点喜色他就及时泼冷水,2022/11/7
国资接管姚家逐步减持退出很正常没必要过份解读红日迟早两位数以上,2022/11/7
以往走势消息一出股价下跌麻烦,2022/11/7
踩年线支撑符合预期,2022/11/7
去年前年关注了一年多股价还在原地,2022/11/7
等五块再玩吧捂脸,2022/11/7
给机会都不跑想啥呢真看好的话等幺儿子开始减持再进来,2022/11/7
深股通今天至少抛出300万股,2022/11/7
悄悄出货中,2022/11/7
650收盘,2022/11/7
进入温水煮青蛙模式先盘跌几天再猛跌几天,2022/11/7
振幅加大不上就是下,2022/11/7
要卖赶快弄钱办白情,2022/11/7
继续砸啊红日的各路傻缺们得意得意得意,2022/11/7
红日投资者涨没份跌我们割的痛快为什么,2022/11/7
远离减持票远离减持票远离减持票,2022/11/7
真尿性,2022/11/7
